id,priority,cpu_demand,memory_demand,data_size,delay
0,Low,3066,5518,396.5994924648968,1.255050102528528
1,Medium,2047,2723,397.1459489519783,1.7348464959587746
2,Low,1217,7430,418.3071849657289,1.8647899214952495
3,High,3734,7917,326.7266069316109,2.228374756451137
4,Medium,1882,3024,910.2927791670246,2.057280313665746
5,Medium,1609,3153,567.5814616890406,1.5464496189187797
6,Medium,1006,1516,268.91033073390304,2.042927257416087
7,Low,986,5506,620.6957870243282,1.1511878567417901
8,High,2081,6790,739.6023215319241,1.1211211974468678
9,Low,1324,6717,517.5973210456733,1.5675634174653321
10,Low,3917,2844,966.781782681691,2.526542440900546
11,Low,2039,3440,807.4332244103641,2.5294131417177277
12,Low,1840,6440,336.0888464927864,1.756851055771798
13,Low,3422,3441,355.2766173274191,1.119932143230096
14,Low,3938,5425,336.4503071961587,2.7393545268693975
15,High,3382,7718,224.30328179089952,2.614897434136422
16,Medium,1733,2904,718.181384168859,2.170037705550162
17,Low,2561,1760,286.8519425176615,1.1727213759952295
18,Low,2509,4833,945.4472155843698,2.2983673079288223
19,High,2780,2625,102.34336397768486,2.5385344990565626
20,High,3078,1015,683.1273350223241,2.708554851323237
21,High,1112,5271,990.6881688536776,1.3869201787937686
22,High,3331,4549,435.53259475911176,1.6830381969682755
23,Medium,3472,1752,832.1081237549633,1.7641417276328297
24,Low,3396,4341,498.44317895691324,1.1790253888144064
25,High,3966,7568,810.7772020822532,2.5407279061189865
26,Medium,1064,7433,464.76572560804124,2.2160900162369597
27,High,1777,7255,201.2278464576204,1.9455718825494983
28,Medium,3786,3292,150.47523494995335,1.013598194030195
29,Low,2260,1259,348.51213244491123,2.1032561808416412
